timestampMs,poorSignal,eegRawValue,eegRawValueVolts,attention,meditation,blinkStrength,delta,theta,alphaLow,alphaHigh,betaLow,betaHigh,gammaLow,gammaMid,tagEvent,location
1.57E+12,25,17,3.74E-06,0,0,110,51,5,1,1,1,1,1,1,Tag0,unknown
1.57E+12,25,-118,-2.59E-05,0,0,45,142367,81799,16747092,9984,14201,9063,3471,6511,Tag0,unknown
1.57E+12,0,60,1.32E-05,0,0,45,73504,16758643,22750,10195,6779,3758,2306,1086,Tag0,unknown
1.57E+12,0,-171,-3.76E-05,0,0,50,57840,33238,37796,16909,17925,18353,4063,8279,Tag0,unknown
1.57E+12,0,120,2.64E-05,0,0,50,684499,18929,22872,11074,10617,4641,6782,2306,Tag0,unknown
1.57E+12,0,41,9.01E-06,54,30,47,424810,98580,16746025,11409,11757,28285,9674,2703,Tag0,unknown
1.57E+12,0,32,7.03E-06,78,30,47,18272,11707,4542,9605,10744,11444,11958,8761,Tag0,unknown
1.57E+12,0,36,7.91E-06,84,13,47,16758461,65691,9035,761,4041,13157,1335,1616,Tag0,unknown
1.57E+12,0,68,1.49E-05,94,23,47,3918,21620,16118,12642,4810,10480,6930,2045,Tag0,unknown
1.57E+12,0,-84,-1.85E-05,94,21,47,527393,97219,5043,22957,7888,16746007,13506,8832,Tag0,unknown
1.57E+12,0,1188,2.61E-04,69,27,47,1216767,153097,67505,87920,16755283,28959,17350,9505,Tag0,unknown
1.57E+12,0,-301,-6.61E-05,56,44,47,879312,22290,3473,5649,2640,2134,1103,138,Tag0,unknown
1.57E+12,0,101,2.22E-05,51,43,47,2220666,275194,153592,98041,16751190,95261,23106,8589,Tag0,unknown
1.57E+12,0,97,2.13E-05,17,47,47,687323,142023,16746088,5948,20994,4927,9413,4142,Tag0,unknown
1.57E+12,0,-134,-2.94E-05,26,41,47,1911094,108287,16772912,142108,133768,16764521,28939,16748152,Tag0,unknown
1.57E+12,0,35,7.69E-06,14,30,90,1104407,204670,26172,14273,7222,6453,9378,6547,Tag0,unknown
1.57E+12,0,77,1.69E-05,7,17,43,57028,16768168,8435,10411,7192,5938,4963,2152,Tag0,unknown
1.57E+12,0,-893,-1.96E-04,16,26,58,281180,485378,82360,133441,65446,16746806,19106,16889,Tag0,unknown
1.57E+12,0,-274,-6.02E-05,1,3,95,471980,16770745,3030,2712,1384,2202,1766,484,Tag0,unknown
1.57E+12,26,-199,-4.37E-05,1,3,95,1327572,14118,5770,12828,3711,2274,1856,1075,Tag0,unknown
1.57E+12,0,52,1.14E-05,3,26,95,610748,70239,16753531,19743,11248,6474,2603,1231,Tag0,unknown
1.57E+12,0,18,3.96E-06,23,27,95,3213,16754567,3675,14529,2642,17292,4847,7345,Tag0,unknown
1.57E+12,0,-361,-7.93E-05,21,41,95,490408,299909,254307,16775060,16747717,16746954,21689,9884,Tag0,unknown
1.57E+12,0,52,1.14E-05,43,57,46,1028732,16744920,10486,2980,2491,6699,4084,1949,Tag0,unknown
1.57E+12,0,51,1.12E-05,77,30,46,10919,22773,1024,5286,17858,13875,7724,5734,Tag0,unknown
1.57E+12,0,90,1.98E-05,63,23,46,513934,71910,5642,10024,9241,8964,14018,3345,Tag0,unknown
1.57E+12,0,-127,-2.79E-05,57,1,41,104483,508014,16750057,16747734,15449,20748,5806,4453,Tag0,unknown
1.57E+12,0,25,5.49E-06,30,8,41,283973,74467,25663,28040,1419,1716,3980,1757,Tag0,unknown
1.57E+12,0,273,6.00E-05,8,30,41,809684,118189,16768502,97852,27371,23576,8995,6383,Tag0,unknown
1.57E+12,0,-298,-6.55E-05,1,50,46,1678483,399062,220048,29355,13949,14839,27897,9567,Tag0,unknown
1.57E+12,0,-177,-3.89E-05,1,54,46,320936,212897,22757,18813,13732,7959,16935,3769,Tag0,unknown
1.57E+12,0,65,1.43E-05,20,60,46,201011,16759811,75457,9049,25534,12799,4073,2992,Tag0,unknown
1.57E+12,0,20,4.39E-06,23,51,40,1333624,262878,16750242,84716,16767728,31628,27267,8011,Tag0,unknown
1.57E+12,0,-266,-5.84E-05,37,54,40,425880,131349,16745253,80878,15759,17287,11685,3859,Tag0,unknown
1.57E+12,0,35,7.69E-06,43,80,44,309761,16753397,16753416,12903,9795,4928,6162,3356,Tag0,unknown
1.57E+12,0,-333,-7.32E-05,30,51,60,1238873,1550113,100736,83358,92966,68495,42878,31421,Tag0,unknown
1.57E+12,0,83,1.82E-05,21,54,38,357542,100074,66132,25130,10747,10380,8656,10651,Tag0,unknown
1.57E+12,0,97,2.13E-05,23,54,38,210232,22353,12768,4084,2975,2772,1311,988,Tag0,unknown
1.57E+12,0,104,2.29E-05,27,50,38,823533,21158,14538,3513,3238,2770,4811,2329,Tag0,unknown
1.57E+12,0,-44,-9.67E-06,40,64,45,59780,31384,10453,6027,3952,4102,3530,1900,Tag0,unknown
1.57E+12,0,-111,-2.44E-05,44,41,45,1589305,537852,22955,11720,16756197,31830,14347,4854,Tag0,unknown
1.57E+12,0,10,2.20E-06,38,30,49,859629,126485,21432,27535,15405,12142,14937,4522,Tag0,unknown
1.57E+12,0,72,1.58E-05,44,26,58,533342,85309,16747953,20483,29841,17596,16083,5916,Tag0,unknown
1.57E+12,0,-381,-8.37E-05,54,24,45,1928154,499348,61912,46736,40594,110268,163943,19960,Tag0,unknown
1.57E+12,0,55,1.21E-05,47,43,45,1692014,278380,16776631,18990,20182,10234,7447,4395,Tag0,unknown
1.57E+12,0,72,1.58E-05,50,56,35,23423,79753,16757268,18319,6727,9928,13252,8641,Tag0,unknown
1.57E+12,0,25,5.49E-06,51,48,46,613614,623639,52561,16753562,44345,45568,16753199,17325,Tag0,unknown
1.57E+12,0,-69,-1.52E-05,48,50,38,624044,156481,16771613,17752,28657,16750532,28722,8006,Tag0,unknown
1.57E+12,0,113,2.48E-05,63,30,79,262725,33166,800,3632,5979,8224,3504,1365,Tag0,unknown
1.57E+12,0,56,1.23E-05,63,16,79,288282,211808,16746735,7635,28690,18238,11410,2896,Tag0,unknown
1.57E+12,0,24,5.27E-06,61,17,42,744019,114527,16754272,9390,16767469,29055,19993,10817,Tag0,unknown
1.57E+12,0,60,1.32E-05,43,1,58,1190551,147492,2846,7497,4849,5716,2464,1398,Tag0,unknown
1.57E+12,0,85,1.87E-05,63,35,39,12172,3239,13168,8890,6534,17240,7207,3675,Tag0,unknown
1.57E+12,0,102,2.24E-05,63,35,41,12172,3239,13168,8890,6534,17240,7207,3675,Tag0,unknown
1.57E+12,0,90,1.98E-05,64,30,45,744640,127452,1970,32009,16763190,21417,12620,10359,Tag0,unknown
1.57E+12,0,2,4.39E-07,56,56,44,133589,4407,15392,2289,3397,1415,8541,182,Tag0,unknown
1.57E+12,0,98,2.15E-05,75,69,44,49392,16771746,9838,15151,29140,22070,12656,4153,Tag0,unknown
